Point	Value
1	10116.0806704
2	0.0
101	7323.30162576
123	0.0
159	0.0
302	8605.69429012
323	34377.2250829
397	0.0
1440	4548.67207653
1779	0.0
1790	0.0
3	101997.159704
42	84360.5600098
135	3238.27171865
281	6563.19919003
477	1356.85421077
652	10730.6807618
1626	157.635859609
4	0.0
9	100417.156362
26	676.816766456
27	13220.714998
58	48.5934208883
60	268.875381576
62	8011.72673606
83	58.6859396754
84	3075.11028822
99	433.826207573
105	152681.144591
172	13110.0014668
173	386.449101545
176	32271.1779862
185	1236.87389418
194	65655.6147362
199	11825.8678929
224	3473.33134805
234	5692.96728701
242	5482.55289817
243	215.91695769
249	84038.910833
252	10540.5647974
257	4287.41735305
283	8129.29521425
285	774.460784719
288	3008.76999716
308	28121.3213186
317	14916.2769886
333	242.265769797
338	3287.91423557
346	8452.65298864
371	3105.27754604
372	33285.4886765
374	55.3589209659
394	2875.24794698
408	1480.90208915
415	11024.7849139
475	28571.0041418
504	2384.42917955
509	8039.14517777
545	2131.91429551
569	4808.74513736
582	4990.46547334
590	3208.45540216
610	76.9959786586
611	2.01399582193
615	11518.5009242
640	5113.15361165
641	23.5670314775
645	602.203263223
681	4214.32000026
687	15398.5845752
697	21725.8046478
700	1198.51753997
701	8201.46742493
711	11102.5441089
731	228.231394557
740	1011.10080846
741	384.919353348
752	1099.54008917
754	2078.73556585
768	6613.63550994
778	1667.39726636
782	110.153065421
790	86.368712608
794	2415.86909502
800	1448.6021863
810	1682.75451935
823	11381.7780764
824	290.394655992
840	22053.1636593
846	195.830460532
865	159.210207571
881	4707.96335346
893	366.535295178
928	5273.40007538
933	1471.40105283
970	680.189838132
1042	4637.32836359
1103	4273.9779277
1117	2564.17465563
1127	9363.54012297
1154	93.7875351504
1167	5416.67108965
1180	360.899963269
1183	8042.52181116
1185	10060.4901925
1187	644.508671029
1189	18580.2813659
1190	4976.18609559
1192	0.0
1196	147.312036313
1208	0.0
1231	6173.84023934
1237	1600.03857181
1249	1288.11734694
1262	428.420800032
1270	901.395049598
1281	33654.3041029
1288	0.0
1315	30.5566560475
1335	171.261385025
1340	2759.0688846
1344	1484.71269986
1349	654.29244832
1352	22.5856828796
1371	166.684600718
1373	2201.86300747
1412	931.897922942
1415	174.996746437
1419	42.4014060565
1461	52.5392464398
1463	2201.29954296
1501	17.8558944845
1578	770.876492089
1609	0.0
1620	0.0
1649	374.743421356
1662	0.0
1711	0.0
1728	18.9169350205
1738	226.576442718
1748	1828.02588969
1751	0.0
1793	774.649427967
1795	0.0
30	1412.64662621
31	0.0
32	133067.269221
312	1064.41774891
68	3152.68662932
72	14377.2177767
482	14318.7843282
1565	9749.07752918
753	9102.96769122
8	1365.12675159
164	1350.25942723
644	16826.4320612
12	42746.644409
52	7550.24232348
154	164.832267283
311	777.754355773
460	4083.18839899
1039	3428.50549088
1050	3320.24266872
1338	7140.74231063
1573	1652.33154224
1682	0.0
1749	4172.57982032
825	0.0
353	4942.15964997
396	2581.71395466
957	0.0
1015	0.0
1072	8174.29179384
1505	0.0
1645	0.0
33	0.0
59	0.0
77	0.0
125	302.326890289
130	0.0
174	514.56157747
179	0.0
198	140.942633645
494	1348.82168694
518	4274.02866877
698	31.6319881578
773	251.906033062
780	90.6258774251
815	5652.17053848
983	1439.38931032
1053	0.0
1232	0.0
1336	18.6386662303
1372	0.0
1385	0.0
1386	18.4002133647
1403	1145.38445962
1497	822.83494183
1518	949.67704422
1519	0.0
1543	34023.9011389
1657	2755.66268732
1665	4844.90292702
1683	0.0
1689	0.0
1692	0.0
1710	0.0
1809	0.0
1829	0.0
1838	0.0
1856	0.0
1857	0.0
36	18154.1141035
88	3953.86697124
155	722.938296679
221	6002.44112587
6	9958.6508382
73	1465.67805807
90	1876.12445492
124	1347.87271024
299	1277.21051146
413	2257.71520616
597	249.722442396
19	27888.8059752
250	18197.7369248
254	10259.5539077
834	2746.28391324
34	3194.47321823
40	0.0
56	5773.43815493
109	2452.49941208
127	772.178487437
209	2534.97975846
598	45768.5750139
601	858.561482527
81	0.0
103	108794.113323
128	33358.4990183
547	4459.53984807
134	40.4921427298
525	2548.36137228
1033	8114.92197054
1425	43.4486142939
291	2149.74085039
37	0.0
50	2325.32214917
55	0.0
75	60.747467388
89	0.0
104	138.076275426
110	0.0
112	0.0
113	0.0
119	773.213169814
129	1.75299683039
133	2.74374025352
147	40.671423004
156	0.0
214	2410.0892421
222	20.492916164
236	928.709692233
259	395.533415708
296	3018.26413406
361	1725.20684566
400	98067.5185071
401	1365.30328986
428	9.71015703264
511	27.9238446108
614	1.20256736395
625	3595.73311114
779	5312.66606449
828	19.6004240306
879	0.0
985	165.23003825
1059	1398.3883449
41	67321.9216284
479	4539.70523313
358	3277.80004198
638	74527.9720835
784	0.0
1191	0.0
1346	5534.68589834
1558	0.0
1622	0.0
63	18718.3525723
620	2830.07338205
1302	2845.61634459
632	1063.25049137
43	0.0
1043	145.134845941
1215	2958.03130928
69	5913.63783105
339	2612.15575844
445	1320.91728414
669	0.0
738	1796.78030612
767	194.927050556
831	4982.91232908
922	0.0
955	0.0
1091	1303.69871524
1097	2042.95649035
1139	0.0
1161	134.481368323
1226	74.9985599157
1229	0.0
1266	0.0
1307	0.0
1309	0.0
1337	0.0
1356	983.987363672
1357	0.0
1418	0.0
1428	0.0
1477	0.0
1482	0.0
1506	0.0
1512	0.0
1526	72.7801879069
1559	0.0
1597	0.0
1691	0.0
44	22229.1209649
1271	79.6282122029
51	8558.68793772
48	4024.93978755
14	0.0
514	3841.02649849
719	7023.21156492
