Point	Value
105	152681.144591
32	133067.269221
103	108794.113323
3	101997.159704
9	100417.156362
400	98067.5185071
42	84360.5600098
249	84038.910833
638	74527.9720835
41	67321.9216284
67	66779.8760747
194	65655.6147362
713	58793.5765678
523	53254.9333881
1283	47482.5209724
598	45768.5750139
12	42746.644409
144	40375.0226849
323	34377.2250829
1543	34023.9011389
357	33930.5325437
1281	33654.3041029
128	33358.4990183
372	33285.4886765
176	32271.1779862
704	31120.9256107
475	28571.0041418
308	28121.3213186
19	27888.8059752
95	23568.555901
212	23449.1780181
325	23253.6123258
44	22229.1209649
840	22053.1636593
697	21725.8046478
277	21101.32117
1624	20169.171091
204	20020.9074004
321	19554.3748074
63	18718.3525723
1189	18580.2813659
53	18208.7496382
1402	18203.2750924
250	18197.7369248
36	18154.1141035
1255	17642.9842086
266	17171.5690984
644	16826.4320612
263	16797.3529572
679	16629.6326191
687	15398.5845752
1598	15254.6981068
317	14916.2769886
626	14657.847014
502	14450.9857618
72	14377.2177767
482	14318.7843282
617	14197.8741608
495	14135.3162692
389	14029.752906
639	13914.7106545
27	13220.714998
172	13110.0014668
1269	12838.8430332
297	12760.3496776
498	12462.7009135
605	12102.3913486
1783	12064.8675693
454	11914.5107535
368	11894.2788081
199	11825.8678929
1601	11575.5268972
615	11518.5009242
586	11470.6051476
823	11381.7780764
342	11307.3334981
1713	11176.5169147
711	11102.5441089
1253	11039.7571634
415	11024.7849139
652	10730.6807618
97	10578.3588389
252	10540.5647974
1113	10305.2468632
783	10273.6230917
254	10259.5539077
843	10127.9375289
1	10116.0806704
1185	10060.4901925
6	9958.6508382
74	9934.31292298
260	9804.67474707
1565	9749.07752918
474	9568.35463129
1127	9363.54012297
193	9328.51681239
1021	9256.55654428
555	9164.08874138
797	9135.80128858
753	9102.96769122
142	9065.77461065
393	8999.29032382
1724	8896.63865782
654	8828.52323157
398	8791.98911146
302	8605.69429012
708	8577.94311704
1539	8576.15642052
51	8558.68793772
1616	8483.17835524
852	8452.89265986
346	8452.65298864
1280	8397.86413819
211	8306.49829812
871	8270.0290447
1332	8224.55705308
701	8201.46742493
536	8175.88759514
1072	8174.29179384
809	8139.89358935
283	8129.29521425
1033	8114.92197054
1183	8042.52181116
509	8039.14517777
431	8038.1458081
62	8011.72673606
642	7989.18416922
513	7985.52074808
725	7809.19907639
1488	7671.43014719
1540	7599.85834543
52	7550.24232348
101	7323.30162576
306	7314.50623743
576	7270.50676782
1338	7140.74231063
847	7084.26841737
733	7079.81115951
719	7023.21156492
1339	6970.37113622
969	6875.3742439
1585	6787.97588894
175	6774.33213358
309	6724.04191435
768	6613.63550994
1142	6600.8628894
220	6571.87994635
281	6563.19919003
1546	6511.07854274
1839	6497.15171737
1018	6476.63801564
