Source	Target
179	254
179	3041
254	3041
254	20
254	508
254	110
3274	254
3274	452
3274	152
3274	28
3274	982
3274	915
3274	156
3274	512
324	254
1105	254
1105	262
2636	254
1171	254
3042	254
3042	212
3042	262
452	254
452	152
683	254
683	20
683	938
683	4
801	254
801	452
801	512
801	1178
152	254
152	3041
152	989
152	20
3047	254
144	254
144	152
634	254
634	3041
634	20
1084	254
1084	3041
1084	452
1084	152
989	254
737	254
737	152
737	262
914	254
914	3041
914	20
914	156
914	512
914	1178
671	254
671	508
671	964
671	882
671	963
671	2775
56	254
56	3041
56	452
56	152
56	20
56	917
56	508
56	262
56	2316
56	964
56	882
56	206
56	1502
56	915
56	2707
56	156
56	512
607	254
607	3041
607	152
607	20
6506	254
6506	3041
6506	152
6506	882
6506	963
2272	254
2272	3041
1418	254
97	254
97	3041
97	452
97	152
97	989
781	254
781	3041
781	152
20	3041
791	254
791	3041
791	152
791	960
791	882
791	890
102	254
102	3041
102	452
102	152
102	989
102	791
102	960
102	66
102	110
102	212
102	570
102	262
102	938
102	882
102	206
102	1440
102	2427
102	967
102	512
1984	254
1984	3041
1984	20
1535	254
1535	452
1535	152
1535	351
1535	512
3048	254
743	254
743	3041
743	452
743	152
743	262
797	254
797	781
797	512
797	2898
797	60
960	254
960	452
960	508
960	110
960	915
960	512
80	254
80	452
80	152
80	989
80	20
80	54
80	512
482	254
482	3041
482	452
482	152
482	56
482	28
482	66
482	467
482	881
482	54
482	738
482	512
482	2775
3195	254
3195	152
3195	917
917	254
917	152
917	102
917	66
917	110
917	512
28	3041
28	20
28	262
28	512
28	2775
837	452
837	152
837	28
837	508
837	882
837	915
6669	3041
6669	28
879	3041
879	152
879	28
879	66
879	508
879	938
879	882
879	206
879	3044
754	28
754	938
1108	3041
1108	28
1955	28
672	152
672	28
672	508
66	3041
66	452
66	152
66	508
66	110
66	262
66	882
66	1502
66	2427
66	512
98	3041
240	3041
55	3041
55	152
55	20
127	3041
253	3041
253	512
3841	3041
5563	3041
5563	452
495	3041
508	3041
508	152
508	989
508	102
508	212
508	2427
613	3041
613	20
467	3041
467	20
804	3041
811	3041
569	3041
836	3041
836	452
836	20
836	262
836	512
836	727
454	254
454	3041
454	20
192	3041
192	152
192	512
32	3041
32	152
32	508
114	3041
114	512
138	3041
138	452
138	152
138	136
138	156
138	42
374	3041
374	512
113	3041
113	508
113	262
113	938
113	1113
113	512
881	3041
881	452
881	20
881	512
729	3041
729	452
729	960
729	508
729	110
729	882
86	3041
1116	3041
110	3041
110	152
212	3041
212	452
212	152
212	144
212	837
212	66
212	32
212	110
212	85
212	938
212	985
212	964
212	982
212	915
212	2707
212	1440
212	2427
212	156
212	512
2472	3041
1294	3041
1294	152
1366	3041
204	3041
204	262
204	512
155	3041
155	152
155	882
155	48
1503	3041
1503	152
1523	3041
973	3041
973	452
973	882
973	512
4878	3041
4878	20
184	179
184	3041
184	452
184	152
184	960
184	879
184	508
184	569
184	262
184	1502
184	512
570	3041
570	66
570	508
570	32
570	212
570	938
570	882
570	512
570	48
1203	3041
1645	3041
1093	3041
1093	152
1456	3041
1456	452
868	3041
6263	3041
190	3041
546	3041
546	66
546	682
546	882
1131	3041
1131	152
2110	3041
2110	262
2143	3041
951	3041
951	32
2266	3041
2266	152
2266	882
2266	915
2266	963
2266	512
2266	1504
2274	3041
2274	452
682	3041
682	452
682	512
134	179
134	3041
134	152
134	508
134	735
134	2775
118	3041
118	452
118	508
118	110
471	3041
471	512
262	3041
262	452
262	55
262	508
262	212
262	512
262	1493
2401	3041
1000	3041
1000	508
2467	3041
2467	452
394	3041
394	20
394	512
844	3041
844	20
679	3041
679	508
621	3041
621	3042
621	152
621	144
621	917
1256	3041
925	3041
925	512
244	3041
244	452
244	152
244	102
244	482
244	28
244	66
244	508
244	192
244	938
244	882
244	206
244	1502
244	2775
629	3041
170	3041
170	508
971	3041
971	212
971	969
971	882
971	963
2239	3041
3105	3041
3109	3041
3109	152
516	3041
516	512
3193	3041
3193	452
2107	3041
69	3041
69	452
69	212
69	262
69	882
69	492
69	963
69	512
1434	3041
1434	152
1434	262
1434	512
2998	3041
2998	20
723	3041
723	156
955	3041
955	3042
955	152
955	20
5810	3041
5810	20
5810	508
5400	3041
5400	152
5400	20
128	3041
128	512
2722	3041
2722	960
2722	32
2722	156
85	3041
85	152
85	508
85	2427
941	3041
941	452
941	152
941	508
941	110
941	212
941	262
941	244
941	938
941	882
941	206
941	915
941	136
941	2572
941	156
941	327
941	512
6609	3041
6609	20
6609	512
2987	3041
2987	20
198	3041
198	152
6907	3041
628	3041
628	156
458	3041
458	452
458	917
458	508
458	512
938	3041
938	152
938	56
938	20
938	66
938	508
938	32
938	881
938	54
938	492
475	3041
475	512
2124	3041
2124	152
1110	3041
1110	20
54	3041
54	452
54	152
54	989
54	66
54	508
54	110
54	212
54	2061
54	915
54	1113
999	3041
999	152
999	508
999	32
999	262
999	882
999	915
999	156
999	512
6973	3041
2443	3041
2443	152
2443	1176
2443	512
985	3041
985	152
985	66
985	508
985	110
985	3708
985	882
985	2427
985	963
2061	3041
2061	508
6418	3041
4104	3041
3025	3041
3025	452
907	3041
907	20
3203	3041
3203	20
3203	837
7043	3041
6894	3041
6894	452
6894	989
6894	66
6894	508
6894	3365
6894	882
6894	492
6894	512
6894	61
432	3041
1192	3041
1192	20
300	3041
300	452
300	882
300	156
300	963
300	512
1369	3041
1369	110
1369	720
1369	351
96	3041
96	452
96	152
96	113
96	262
96	915
96	156
96	512
96	1248
1731	3041
1731	452
1731	110
122	3041
122	152
122	960
122	80
122	508
122	938
122	54
122	985
122	720
122	512
122	48
3392	3041
5685	3041
5685	20
3906	3041
3906	508
3906	938
5785	3041
5785	452
3065	3041
536	3041
536	508
2391	3041
2391	452
4	3041
4	452
27	3041
27	452
27	152
27	244
27	882
27	156
27	512
27	1178
1406	3041
1406	152
2067	3041
2067	48
1024	3041
1024	508
1024	85
1024	54
1024	882
1024	156
3511	3041
3511	452
3511	102
3511	837
3511	508
3511	212
3511	262
3511	610
3365	3041
3365	452
3365	837
3365	508
3365	262
3365	96
3365	882
799	3041
799	20
799	32
799	938
4711	3041
4711	152
3093	3041
889	3041
889	3044
889	512
889	890
2316	3041
2316	152
2316	20
969	3041
969	508
969	110
969	212
969	964
969	882
969	206
969	915
969	980
969	963
969	512
969	1178
3117	3041
3117	110
6700	3041
6700	156
6939	3041
7376	3041
6395	3041
3307	3041
7386	3041
7386	110
229	3041
6638	3041
6638	152
2754	3041
2754	262
2754	1073
1193	3041
738	3041
738	102
738	960
738	508
738	113
738	212
738	570
738	262
738	938
738	985
738	964
738	882
738	206
738	963
738	512
738	2775
554	3041
6984	3041
3708	3041
3708	152
3708	837
3708	508
3708	212
964	3041
964	452
964	508
964	938
964	882
7398	3041
7398	508
7398	570
7398	2427
153	3041
153	152
507	3041
507	152
507	20
7369	3041
2850	3041
2850	152
2850	915
133	3041
133	152
133	508
133	182
133	982
133	156
2708	3041
2708	452
2708	508
2708	570
2708	3708
2708	1440
2708	156
882	3041
882	452
882	152
882	508
882	110
882	212
882	262
882	206
882	967
882	963
882	48
720	3041
720	452
720	152
720	110
720	262
720	938
720	882
720	963
720	512
7385	3041
7385	452
7385	508
461	3041
363	3041
363	452
363	102
363	508
363	262
